Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Purple binder service type,canonical_Zip,canonical_Site name,canonical_Program Name,canonical_Agency,canonical_Source,canonical_Eearly Head Start Fund,canonical_Length of Day,canonical_NAEYC Program Id,canonical_Website,canonical_Program Option,canonical_Fax,canonical_Head Start Fund,canonical_Ounce of Prevention Description,canonical_NAEYC Valid Until,canonical_Director,canonical_Phone,canonical_Address,canonical_ECE Available Programs,canonical_CC fund,canonical_Email Address,canonical_Column,canonical_Center Director,canonical_Funded Enrollment,canonical_Column2,canonical_Number per Site EHS,canonical_Neighborhood,canonical_Progmod,canonical_IDHS Provider ID,canonical_Number per Site HS,canonical_Executive Director,canonical_Id
6,0.940715491771698,10,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60623,hull house association - child dev. central office- hull house cds-homes,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,9068600,1030 w van buren st,,,,,,,child care,,,,,,,9
7,0.97789517045021057,11,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60617,catholic charities of the archdiocese of chicago - st. kevin,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,3746466,10509 s torrence ave,,,,,,,child care,,,,,,,12
7,0.97789517045021057,12,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60617,catholic charities of the archdiocese of chicago - st. kevin,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,3746466,10509 s torrence ave,,,,,,,child care,,,,,,,12
828,,13,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Community Learning Center,10612 S Wentworth ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.94309864725385395,14,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60607,catholic charities of the archdiocese of chicago - cordia marian,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,6663787,1100 s may st,cp,,,,,,child care,,near west side,,,,,14
8,0.94309864725385395,15,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60607,catholic charities of the archdiocese of chicago - cordia marian,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,6663787,1100 s may st,cp,,,,,,child care,,near west side,,,,,14
829,,16,CPS_Early_Childhood_Portal_scrape.csv, Thresholds - Thresholds Mothers' Project,1110 W Belmont Ave ,,4723558,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0.97870575189590459,17,CPS_Early_Childhood_Portal_scrape.csv, Bethel New Life - Molade Child Development Center,1120 N Lamon Ave ,,6267760,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60651,bethel new life,child care,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,6267760,1120 n lamon avenue,cp,,,,,,child care,,austin,,,,,17
9,0.84860753417015078,18,CPS_Early_Childhood_Portal_scrape.csv, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60640,south east asia center,state pre-kindergarten,,dfss_agencysitelies_2012.csv,tsering ngalutsang,part day/full day,,yes,uptown,,,,tsering ngalutsang,,9897433,1134 w ainslie,peter porr,no,,,www.se-asiacenter.org,south east asia center,child care,,,no,,,4127sa(school age (sa)),18
11,0.98150613572862411,19,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60628,ada s. mckinley community services - mckinley - roseland,child care,,cps_early_childhood_portal_scrape.csv,anna luna,half day/full day,,no,roseland,,,,anna luna,,4681918,11410 s edbrooke,"george jones, jr.",yes,,,www.adasmckinley.org,ada s. mckinley community services,child care,,,no,,,7021ps(hs collaboration with childcare),1235
11,0.98150613572862411,20,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60628,ada s. mckinley community services - mckinley - roseland,child care,,cps_early_childhood_portal_scrape.csv,anna luna,half day/full day,,no,roseland,,,,anna luna,,4681918,11410 s edbrooke,"george jones, jr.",yes,,,www.adasmckinley.org,ada s. mckinley community services,child care,,,no,,,7021ps(hs collaboration with childcare),1235
12,0.991977,21,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Truman,1145 W Wilson Ave ,,8781700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,board trustees-city colleges of chicago - truman,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,8781700,1145 w wilson ave,,,,,,,,,,,,,,21
13,0.99197739362716675,22,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,chicago state university - gingerbread house,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,9284041,11640 s wentworth ave,,,,,,,,,,,,,,23
13,0.99197739362716675,23,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,chicago state university - gingerbread house,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,9284041,11640 s wentworth ave,,,,,,,,,,,,,,23
14,0.99197739362716675,24,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,chicago state university - academy of early education,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,7858163,124 e 113th st,,,,,,,,,,,,,,24
14,0.99197739362716675,25,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,chicago state university - academy of early education,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,7858163,124 e 113th st,,,,,,,,,,,,,,24
15,0.68314641714096069,26,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Stepping Stones Early/Childhood Lear,1300 E 75th St ,,4930000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60619,easter seals society of metropolitan chicago - stepping stones early/childhood lear,community partnerships,,cps_early_childhood_portal_scrape.csv,dr. jones,"8-11 hours, varies by facility",,no,south shore,,,,dr. nelda jones,,4930000,1300 e 75th st,"george jones, jr.",yes,,,www.adasmckinley.org,ada s. mckinley community services,,,,no,,,,26
16,0.97448440698476935,27,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,marcy newberry association - fosco abla center,head start,,cps_early_childhood_portal_scrape.csv,kimberly johnson,half day/full day,,no,near west side,,,,kimberly johnson,,7466024,1312 s racine,gertrude ricks,yes,,,www.marcy-newberry.org,marcy newberry association,early head start,,,yes,,,"4195it(child care it center), 7086ps (hs collaboration with",28
16,0.97448440698476935,28,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,marcy newberry association - fosco abla center,head start,,cps_early_childhood_portal_scrape.csv,kimberly johnson,half day/full day,,no,near west side,,,,kimberly johnson,,7466024,1312 s racine,gertrude ricks,yes,,,www.marcy-newberry.org,marcy newberry association,early head start,,,yes,,,"4195it(child care it center), 7086ps (hs collaboration with",28
18,0.93832997977733612,29,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Incarnation / Salvation Army,1345 N Karlov Ave ,,2764118,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,elsa_galan@usc.salvationarmy.org,60651,salvation army incarnation,child care,,cps_early_childhood_portal_scrape.csv,zoraida fernandini,extended day,,no,humboldt park,,,344640,zoraida fernandini,,2764118,1345 n karlov,claudia rowland,yes,03/31/15,,www.usc.salvationarmy.com,salvation army,,,,no,,,,29
19,0.98803624510765076,30,CPS_Early_Childhood_Portal_scrape.csv, Abraham Lincoln Centre - Hope Presbyterian Church,1354 W 61st St ,,4715100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60636,abraham lincoln centre - hope presbyterian church,child care,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,4715100,1354 w 61st st,,,,,,,child care,,,,,,,30
20,0.94758873581886294,31,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60623,catholic charities of the archdiocese of chicago - our lady of lourdes,child care,,cps_early_childhood_portal_scrape.csv,deborah o'brien,half day/full day,,yes,north lawndale,,,,deborah o'brien,,5213126,1449 s keeler,cp,yes,,,www.catholiccharities.net,catholic charities of the archdiocese of chicago,,,north lawndale,no,,,"2488it(child care it center), 7030ps(hs collaboration with c",32
20,0.94758873581886294,32,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60623,catholic charities of the archdiocese of chicago - our lady of lourdes,child care,,cps_early_childhood_portal_scrape.csv,deborah o'brien,half day/full day,,yes,north lawndale,,,,deborah o'brien,,5213126,1449 s keeler,cp,yes,,,www.catholiccharities.net,catholic charities of the archdiocese of chicago,,,north lawndale,no,,,"2488it(child care it center), 7030ps(hs collaboration with c",32
155,0.94927787780761719,33,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - North Austin / LSSI,1500 N Mason Ave ,,2371930,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60651,lutheran social services of illinois north austin head start,community partnerships,,cps_early_childhood_portal_scrape.csv,doris holden,"8-11 hours, varies by facility",,no,austin,,,,doris holden,,2371930,1500 n mason,john schnier,yes,,,www.lssi.org,lutheran social services of illinois,,,austin,no,,,"4115it(child care it center), 7015ps(hs collaboration with c",2226
21,0.991977,34,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - New Birth,1500 W 69th St ,,4710699,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,marcy newberry association - new birth,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,4710699,1500 w 69th st,,,,,,,,,,,,,,34
182,0.91791652639706933,35,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Mt. Moriah-Taylor / CYC,1501 N Harding Ave ,,2785837,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60651,chicago youth centers - mt. moriah-taylor,community partnerships,,cps_early_childhood_portal_scrape.csv,elizabeth heilbronn,"8-11 hours, varies by facility",,no,humboldt park,,,,elizabeth heilbronn,,2785837,1501 n harding,harry wells,yes,,,www.chicagoyouthcenters.org,chicago youth centers,child care,,humboldt park,no,,,7065ps(hs collaboration with childcare & prek),35
22,0.99194368720054626,36,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60623,marcy newberry association - marcy center,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,7612300,1539 s springfield ave,,,,,,,child care,,,,,,,37
22,0.99194368720054626,37,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60623,marcy newberry association - marcy center,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,7612300,1539 s springfield ave,,,,,,,child care,,,,,,,37
23,0.94061764478683474,38,CPS_Early_Childhood_Portal_scrape.csv, Mary Crane League - Mary Crane - Morse,1545 W Morse Ave ,,2621390,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60626,mary crane league mary crane center (morse),community partnerships,,cps_early_childhood_portal_scrape.csv,guadalupe herrera,"8-11 hours, varies by facility",,no,rogers park,,,,traci medina,,2621390,1545 w morse,lavetter terry,yes,,,www.marycrane.org,mary crane league,child care,,,no,,,4270ps(hs collaboration with childcare & prek),38
813,0.72939542531967161,39,CPS_Early_Childhood_Portal_scrape.csv, South Shore Bible - Maranatha,1631 E 71st St ,,4937500,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60649,salvation army south shore bible/maranatha head start,child care,,cps_early_childhood_portal_scrape.csv,jaqueline carter,extended day,,no,south shore,,,,jaqueline carter,,4937500,1631 e 71st st,claudia rowland,yes,,,www.usc.salvationarmy.com,salvation army,child care,,,no,,,4380ps(hs collaboration with childcare),39
24,0.96197704474131263,40,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Taylor Center for New Experiences,1633 N Hamlin Ave ,,2278551,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,powellv@chicagocommons.org,60647,chicago commons association - taylor center for new experiences,head start,,cps_early_childhood_portal_scrape.csv,nilda vargas,extended day,,yes,humboldt park,,,283654,vanessa powell,,2278551,1633 n hamlin,dan valliere,yes,08/31/14,,www.chicagocommons.org,chicago commons association,child care,,humboldt park,no,,,"2629it(child care it center), 3401ps(hs collaboration with c",40
25,0.96527549624443054,41,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Ebenezer,1652 W Foster Ave ,,8789925,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60640,catholic charities of the archdiocese of chicago - ebenezer,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,8789925,1652 w foster ave,,,,,,,child care,,,,,,,41
26,0.98997774720191956,42,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Paulo Freire,1653 W 43rd St ,,8262669,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60609,chicago commons association - paulo freire,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,8262669,1653 w 43rd st,,,,,,,child care,,,,,,,42
30,0.98603423436482751,43,CPS_Early_Childhood_Portal_scrape.csv, Erie Neighborhood House - Erie Community Center,1701 W Superior St ,,5635800,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,lfalk@eriehouse.org,60622,erie neighborhood house - erie community center,child care,,cps_early_childhood_portal_scrape.csv,celena roldan,half day/full day,,no,west town,,,293383,celena roldan,,5635800,1701 w superior,celena roldan,yes,05/31/13,,www.eriehouse.org,erie neighborhood house,child care,,,no,,,"2640it(child care it center), 3256ps(hs collaboration with c",43
31,0.99197739362716675,44,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes I,1711 W 35th St ,,2547700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,el valor - little tykes i,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,2547700,1711 w 35th st,,,,,,,,,,,,,,591
31,0.99197739362716675,45,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes I,1711 W 35th St ,,2547700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,el valor - little tykes i,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,2547700,1711 w 35th st,,,,,,,,,,,,,,591
830,,46,CPS_Early_Childhood_Portal_scrape.csv, ChildServ - Pilsen,1711 W Garfield Blvd ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.98579720258712766,47,CPS_Early_Childhood_Portal_scrape.csv, El Hogar del Nino/Cuidar - El Hogar del Nino/El Centro - Loomis,1718 S Loomis Blvd ,,5639796,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,el hogar del nino/cuidar - el hogar del nino/el centro - loomis,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,5639796,1718 s loomis blvd,,,,,,,child care,,,,,,,593
33,0.98579720258712766,48,CPS_Early_Childhood_Portal_scrape.csv, El Hogar del Nino/Cuidar - El Hogar del Nino/El Centro - Loomis,1718 S Loomis Blvd ,,5639796,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,el hogar del nino/cuidar - el hogar del nino/el centro - loomis,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,5639796,1718 s loomis blvd,,,,,,,child care,,,,,,,593
34,0.98699185848236082,49,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes II,1723 W 35th St ,,5791791,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60609,el valor - little tykes ii,child care,,cps_early_childhood_portal_scrape.csv,laura gonzalez,extended day,,no,mckinley park,,,,laura gonzalez,,5791791,1723 w 35th st,vincent allocco,yes,,,www.elvalor.org,el valor,,,,no,,,,595
34,0.98699185848236082,50,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes II,1723 W 35th St ,,5791791,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60609,el valor - little tykes ii,child care,,cps_early_childhood_portal_scrape.csv,laura gonzalez,extended day,,no,mckinley park,,,,laura gonzalez,,5791791,1723 w 35th st,vincent allocco,yes,,,www.elvalor.org,el valor,,,,no,,,,595
35,0.79651716351509094,51,CPS_Early_Childhood_Portal_scrape.csv, Church of God True Believers - Church of God Day Care,1738 W Marquette Rd ,,4715222,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60636,church of god true believers - church of god day care,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,4715222,1738 w marquette rd,,,,,,,child care,,,,,,,51
36,0.94947501023610437,52,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - Rogers Park / LSSI,1754 W Devon Ave ,,2623366,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60660,lutheran social services of illinois - rogers park / lssi,community partnerships,,cps_early_childhood_portal_scrape.csv,,"8-11 hours, varies by facility",,,,,,,,,2623366,1754 w devon ave,cp,,,,,,,,rogers park,,,,,2630
37,0.97623224556446075,53,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,,6663883,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,chicago commons association - guadalupano family center,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,migdalia young,half day/full day,,yes,lower west side,,,,esmeralda arroyo,,6663883,1814 s paulina,dan valliere,yes,,,www.chicagocommons.org,chicago commons association,child care,,lower west side,no,,,"2613it(child care it center), 3403ps(hs collaboration with c",53
37,0.97623224556446075,54,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,,6663883,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,chicago commons association - guadalupano family center,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,migdalia young,half day/full day,,yes,lower west side,,,,esmeralda arroyo,,6663883,1814 s paulina,dan valliere,yes,,,www.chicagocommons.org,chicago commons association,child care,,lower west side,no,,,"2613it(child care it center), 3403ps(hs collaboration with c",53
38,0.98809708356857295,55,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - McCormick Tribune- YMCA,1834 N Lawndale Ave ,,2352525,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60647,ymca of metropolitan chicago - mccormick tribune- ymca,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,maria franco,half day/full day,,yes,logan square,,,,maria franco,,2352525,1834 n lawndale,dorothy cole-gary,yes,,,www.ymcachicago.org,ymca of metropolitan chicago,,,,yes,,,"2697it(child care it center), 7096ps(hs collaboration with c",55
40,0.99197739362716675,56,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Malcolm X College,1900 W Van Buren St ,,8507000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,board trustees-city colleges of chicago - malcolm x college,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,8507000,1900 w van buren st,,,,,,,,,,,,,,607
