Cluster ID,confidence_score,Id,Name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Purple binder service type,canonical_Zip,canonical_NAEYC Valid Until,canonical_Program Name,canonical_Agency,canonical_Eearly Head Start Fund,canonical_Length of Day,canonical_NAEYC Program Id,canonical_Email Address,canonical_Website,canonical_Program Option,canonical_Fax,canonical_Head Start Fund,canonical_Ounce of Prevention Description,canonical_Director,canonical_Phone,canonical_Address,canonical_ECE Available Programs,canonical_CC fund,canonical_Name,canonical_Column,canonical_Center Director,canonical_Funded Enrollment,canonical_Column2,canonical_Number per Site EHS,canonical_Neighborhood,canonical_Progmod,canonical_IDHS Provider ID,canonical_Number per Site HS,canonical_Executive Director,canonical_Id
3,0.97295504808425903,10,Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,child care,,,extended day,,,,,,,,,9068600,1030 w van buren st,,,hull house association - child dev. central office- hull house cds-homes,,,,,,,,,,,478
4,0.97971624135971069,11,Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60617,,child care,,,extended day,,,,,,,,,3746466,10509 s torrence ave,,,catholic charities of the archdiocese of chicago - st. kevin,,,,child care,,,,,,,12
4,0.97971624135971069,12,Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60617,,child care,,,extended day,,,,,,,,,3746466,10509 s torrence ave,,,catholic charities of the archdiocese of chicago - st. kevin,,,,child care,,,,,,,12
350,,13,Chicago State University - Community Learning Center,10612 S Wentworth,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.93286645796991163,14,Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,09/30/14,state pre-kindergarten,,migdalia young,half day/full day,405263,arroyoe@chicagocommons.org,yes,lower west side,,,,,6663883,1814 s paulina street,cp,yes,chicago commons association - guadalupano family center,,www.chicagocommons.org,chicago commons  association,child care,,near west side,no,,,"2613it(child care it center), 3403ps(hs collaboration with c",14
7,0.93286645796991163,15,Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,09/30/14,state pre-kindergarten,,migdalia young,half day/full day,405263,arroyoe@chicagocommons.org,yes,lower west side,,,,,6663883,1814 s paulina street,cp,yes,chicago commons association - guadalupano family center,,www.chicagocommons.org,chicago commons  association,child care,,near west side,no,,,"2613it(child care it center), 3403ps(hs collaboration with c",14
9,0.39999270439147949,16,Thresholds - Thresholds Mothers' Project,1110 W Belmont Ave,,4723558,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60614,aimee washington,child care,,aimee washington,half day/full day,129456,awashington@christopherhouse.org,no,lincoln park,,,,,4721083,2507 n greenview,lori baas,yes,christopher house,,www.christopherhouse.org,christopher house,child care,,lincoln park,no,,,"2681it(child care it center), 3406ps(hs collaboration with c",16
11,0.92692593336105344,17,Bethel New Life - Molade Child Development Center,1120 N Lamon Ave,,6267760,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60651,marion hayes,head start,,mrs. andrea young,half day/full day,546219,tru_highmountain@yahoo.com,no,austin,,,,,6267760,1120 n lamon,marion hayes,no,bethel new life,,,"trinity resources unlimited, inc.",child care,,austin,no,,,"4372it(child care it center), 4372ps(child care ps center),",17
12,0.98628257513046269,18,South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St,,9897433,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60640,fe mendoza,state pre-kindergarten,,fe mendoza,part day/full day,,,yes,uptown,,,,,9897433,1134 w ainslie,peter porr,no,south east asia center,,www.se-asiacenter.org,south east asia center,child care,,,no,,,"7139it(child care it center), 7139ps (child care ps center &",18
69,0.98488660653432214,19,Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60628,anna luna,child care,,anna luna,half day/full day,,,no,roseland,,,,,4681918,11410 s edbrooke,"george jones, jr.",yes,ada s. mckinley community services - mckinley - roseland,,www.adasmckinley.org,ada s. mckinley community services,child care,,,no,,,7021ps(hs collaboration with childcare),1235
69,0.98488660653432214,20,Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60628,anna luna,child care,,anna luna,half day/full day,,,no,roseland,,,,,4681918,11410 s edbrooke,"george jones, jr.",yes,ada s. mckinley community services - mckinley - roseland,,www.adasmckinley.org,ada s. mckinley community services,child care,,,no,,,7021ps(hs collaboration with childcare),1235
13,0.12298495225284412,21,Board Trustees-City Colleges of Chicago - Truman,1145 W Wilson Ave,,8781700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60640,09/30/12,community partnerships,,judi gibian-mennenga,half day/full day,486800,rsajous@apcc-chgo.org,no,uptown,,,bridgeport and rogers park communities; serves children ages 3-5,,8783210,4848 n winthrop avenue,cp,yes,ywca northside,,www.ccc.edu,lutheran social services of illinois,child care,--,uptown,no,,30,"7129ps(hs collaboration with childcare & prek), 2709sa(schoo",21
14,0.99098501602808631,22,Chicago State University - Gingerbread House,11640 S Wentworth Ave,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60628,wanda avery,head start,,wanda avery,half day/full day,587966,wereason@aol.com,no,roseland,,,,,9284041,10612 s wentworth,wanda avery,yes,community learning center,,,community learning center,child care,,,no,,,,23
14,0.99098501602808631,23,Chicago State University - Gingerbread House,11640 S Wentworth Ave,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60628,wanda avery,head start,,wanda avery,half day/full day,587966,wereason@aol.com,no,roseland,,,,,9284041,10612 s wentworth,wanda avery,yes,community learning center,,,community learning center,child care,,,no,,,,23
15,0.83987176418304443,24,Chicago State University - Academy of Early Education,124 E 113th St,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60628,reaver barlow-bell,head start,,reaver barlow-bell,half day/full day,,,no,roseland,,,,,7853340,124 e 113th st,vincent allocco,yes,chicago state university - academy of early education,,www.chicagocommons.org,el valor,child care,,,no,,,"4138ps(child care ps center), 4134ps(hs collaboration with c",24
15,0.83987176418304443,25,Chicago State University - Academy of Early Education,124 E 113th St,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60628,reaver barlow-bell,head start,,reaver barlow-bell,half day/full day,,,no,roseland,,,,,7853340,124 e 113th st,vincent allocco,yes,chicago state university - academy of early education,,www.chicagocommons.org,el valor,child care,,,no,,,"4138ps(child care ps center), 4134ps(hs collaboration with c",24
16,0.99680597484111788,26,Easter Seals Society of Metropolitan Chicago - Stepping Stones Early/Childhood Lear,1300 E 75th St,,4930000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60619,04/30/13,head start,,jaqueline carter,half day/full day,486671,cknighten@hullhouse.org,no,south shore,,,,,4931306,1300 e 75th st,cp,yes,salvation army,,www.adasmckinley.org,salvation army,child care,,woodlawn,no,,,"3263ps(hs collaboration with childcare & prek), 2637sa(schoo",39
17,0.97996083131203282,27,Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,kimberly johnson,head start,,kimberly johnson,half day/full day,,,no,near west side,,,,,7466024,1312 s racine,gertrude ricks,yes,marcy newberry association - fosco abla center,,www.marcy-newberry.org,marcy newberry association,early head start,,,yes,,,"4195it(child care it center), 7086ps (hs collaboration with",28
17,0.97996083131203282,28,Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,kimberly johnson,head start,,kimberly johnson,half day/full day,,,no,near west side,,,,,7466024,1312 s racine,gertrude ricks,yes,marcy newberry association - fosco abla center,,www.marcy-newberry.org,marcy newberry association,early head start,,,yes,,,"4195it(child care it center), 7086ps (hs collaboration with",28
210,0.61298184211437512,29,Salvation Army - Incarnation / Salvation Army,1345 N Karlov Ave,,2764118,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60647,03/31/15,child care,,zoraida fernandini,extended day,344640,elsa_galan@usc.salvationarmy.org,no,humboldt park,,,,,2763423,3401 w. mclean avenue,cp,yes,salvation army incarnation,,www.usc.salvationarmy.com,salvation army,child care,,west town,no,,,,29
19,0.90324427322907885,30,Abraham Lincoln Centre - Hope Presbyterian Church,1354 W 61st St,,4715100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60629,ms. duckery,child care,,ms. duckery,half day/full day,723603,weeweecenter@sbcglobal.net,no,chicago lawn,,,,,4715100,1354 w 61st st,scott perkins,yes,abraham lincoln centre,,www.henryboothhouse.org,henry booth house,child care,,chicago lawn,no,,,,34
45,0.67244623937914449,31,Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60623,09/01/15,state pre-kindergarten,,jolene martin,half day/full day,486936,walkerr@crcl.net,no,north lawndale,,,,,5211196,2653 w ogden,cp,yes,gads hill center,,www.catholiccharities.net,carole robertson center for learning,child care,,north lawndale,no,,,"5931ps(hs collaboration with childcare homes), 5931ip(ehs co",32
45,0.67244623937914449,32,Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60623,09/01/15,state pre-kindergarten,,jolene martin,half day/full day,486936,walkerr@crcl.net,no,north lawndale,,,,,5211196,2653 w ogden,cp,yes,gads hill center,,www.catholiccharities.net,carole robertson center for learning,child care,,north lawndale,no,,,"5931ps(hs collaboration with childcare homes), 5931ip(ehs co",32
20,0.92098207198656523,33,Lutheran Social Services of Illinois - North Austin / LSSI,1500 N Mason Ave,,2371930,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60639,05/31/13,community partnerships,,doris holden,"8-11 hours, varies by facility",343090,,no,austin,,,,,2371930,1500 n mason ave,cp,yes,lutheran social services of illinois north austin head start,,www.lssi.org,easter seals society of metropolitan chicago,early head start,,austin,no,,,"4115it(child care it center), 7015ps(hs collaboration with c",33
19,0.99753658338026563,34,Marcy Newberry Association - New Birth,1500 W 69th St,,4710699,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60629,ms. duckery,child care,,ms. duckery,half day/full day,723603,weeweecenter@sbcglobal.net,no,chicago lawn,,,,,4715100,1354 w 61st st,scott perkins,yes,abraham lincoln centre,,www.henryboothhouse.org,henry booth house,child care,,chicago lawn,no,,,,34
201,0.99022425214449561,35,Chicago Youth Centers - Mt. Moriah-Taylor / CYC,1501 N Harding Ave,,2785837,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60651,elizabeth heilbronn,community partnerships,,elizabeth heilbronn,"8-11 hours, varies by facility",,,no,humboldt park,,,,,2785837,1501 n harding,harry wells,yes,chicago youth centers - mt. moriah-taylor,,www.chicagoyouthcenters.org,chicago youth centers,child care,,humboldt park,no,,,7065ps(hs collaboration with childcare & prek),35
235,0.98106853365898128,36,Marcy Newberry Association - Marcy Center,1539 S Springfield Ave,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60626,reyna nava,state pre-kindergarten,,marlene bansa,half day/full day,,,no,rogers park,,,,,7612300,1539 s springfield ave,dan valliere,yes,marcy newberry association - marcy center,,www.chicagocommons.org,chicago commons association,,,,no,,,,37
235,0.98106853365898128,37,Marcy Newberry Association - Marcy Center,1539 S Springfield Ave,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60626,reyna nava,state pre-kindergarten,,marlene bansa,half day/full day,,,no,rogers park,,,,,7612300,1539 s springfield ave,dan valliere,yes,marcy newberry association - marcy center,,www.chicagocommons.org,chicago commons association,,,,no,,,,37
36,0.55404967069625854,38,Mary Crane League - Mary Crane - Morse,1545 W Morse Ave,,2621390,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60645,01/31/13,child care,,guadalupe herrera,half day/full day,557795,,no,rogers park,,,,,2628300,2424 w touhy avenue,cp,yes,ymca high ridge,,www.marycrane.org,mary crane league,child care,,rogers park,no,,,4270ps(hs collaboration with childcare & prek),52
16,0.9486114174127579,39,South Shore Bible - Maranatha,1631 E 71st St,,4937500,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60619,04/30/13,head start,,jaqueline carter,half day/full day,486671,cknighten@hullhouse.org,no,south shore,,,,,4931306,1300 e 75th st,cp,yes,salvation army,,www.adasmckinley.org,salvation army,child care,,woodlawn,no,,,"3263ps(hs collaboration with childcare & prek), 2637sa(schoo",39
215,0.98997990952597725,40,Chicago Commons Association - Taylor Center for New Experiences,1633 N Hamlin Ave,,2278551,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60647,vanessa powell,head start,,nilda vargas,extended day,283654,powellv@chicagocommons.org,yes,humboldt park,,,,,2278551,1633 n hamlin,dan valliere,yes,chicago commons association - taylor center for new experiences,,www.chicagocommons.org,chicago commons association,child care,,humboldt park,no,,,"2629it(child care it center), 3401ps(hs collaboration with c",40
13,0.17332437245742138,41,Catholic Charities of the Archdiocese of Chicago - Ebenezer,1652 W Foster Ave,,8789925,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60640,09/30/12,community partnerships,,judi gibian-mennenga,half day/full day,486800,rsajous@apcc-chgo.org,no,uptown,,,bridgeport and rogers park communities; serves children ages 3-5,,8783210,4848 n winthrop avenue,cp,yes,ywca northside,,www.ccc.edu,lutheran social services of illinois,child care,--,uptown,no,,30,"7129ps(hs collaboration with childcare & prek), 2709sa(schoo",21
97,0.79613318810096156,42,Chicago Commons Association - Paulo Freire,1653 W 43rd St,,8262669,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60609,07/31/14,child care,,jenny seacat,half day/full day,399578,reneeboyd@hullhouse.org,yes,new city,,,,,8266260,1653 w 43rd st,dan valliere,yes,chicago commons association - paulo freire,,www.chicagocommons.org,chicago commons  association,child care,,new city,no,,,"2626it(child care it center), 3402ps(hs collaboration with c",42
22,0.97588126063346858,43,Erie Neighborhood House - Erie Community Center,1701 W Superior St,,5635800,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60622,celena roldan,child care,,celena roldan,half day/full day,293383,lfalk@eriehouse.org,no,west town,,,,,5635800,1701 w superior,cp,yes,erie neighborhood house - erie community center,,www.eriehouse.org,erie neighborhood house,,,west town,no,,,"2640it(child care it center), 3256ps(hs collaboration with c",43
24,0.90187786306653706,44,El Valor - Little Tykes I,1711 W 35th St,,2547700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60609,sara matta,child care,,sara matta,extended day,,,no,mckinley park,,,,,2547700,1711 w 35th st,vincent allocco,yes,el valor - little tykes i,,www.elvalor.org,el valor,,,mckinley park,no,,,,2604
24,0.90187786306653706,45,El Valor - Little Tykes I,1711 W 35th St,,2547700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60609,sara matta,child care,,sara matta,extended day,,,no,mckinley park,,,,,2547700,1711 w 35th st,vincent allocco,yes,el valor - little tykes i,,www.elvalor.org,el valor,,,mckinley park,no,,,,2604
351,,46,ChildServ - Pilsen,1711 W Garfield Blvd,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.8135752181212107,47,El Hogar del Nino/Cuidar - El Hogar del Nino/El Centro - Loomis,1718 S Loomis Blvd,,5639796,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,,child care,,,extended day,,,,,,,,,5639796,1718 s loomis blvd,,,el hogar del nino/cuidar - el hogar del nino/el centro - loomis,,,,child care,,,,,,,3137
23,0.8135752181212107,48,El Hogar del Nino/Cuidar - El Hogar del Nino/El Centro - Loomis,1718 S Loomis Blvd,,5639796,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,,child care,,,extended day,,,,,,,,,5639796,1718 s loomis blvd,,,el hogar del nino/cuidar - el hogar del nino/el centro - loomis,,,,child care,,,,,,,3137
25,0.98816967010498047,49,El Valor - Little Tykes II,1723 W 35th St,,5791791,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60609,laura gonzalez,child care,,laura gonzalez,extended day,,,no,mckinley park,,,,,5791791,1723 w 35th st,vincent allocco,yes,el valor - little tykes ii,,www.elvalor.org,el valor,,,mckinley park,no,,,,595
25,0.98816967010498047,50,El Valor - Little Tykes II,1723 W 35th St,,5791791,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60609,laura gonzalez,child care,,laura gonzalez,extended day,,,no,mckinley park,,,,,5791791,1723 w 35th st,vincent allocco,yes,el valor - little tykes ii,,www.elvalor.org,el valor,,,mckinley park,no,,,,595
140,0.98647752404212952,51,Church of God True Believers - Church of God Day Care,1738 W Marquette Rd,,4715222,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60636,,child care,,,extended day,,,,,,,,,4715222,1738 w marquette rd,,,church of god true believers - church of god day care,,,,child care,,,,,,,51
36,0.49849343631002641,52,Lutheran Social Services of Illinois - Rogers Park / LSSI,1754 W Devon Ave,,2623366,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60645,01/31/13,child care,,guadalupe herrera,half day/full day,557795,,no,rogers park,,,,,2628300,2424 w touhy avenue,cp,yes,ymca high ridge,,www.marycrane.org,mary crane league,child care,,rogers park,no,,,4270ps(hs collaboration with childcare & prek),52
7,0.92882396328833794,53,Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St,,6663883,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,09/30/14,state pre-kindergarten,,migdalia young,half day/full day,405263,arroyoe@chicagocommons.org,yes,lower west side,,,,,6663883,1814 s paulina street,cp,yes,chicago commons association - guadalupano family center,,www.chicagocommons.org,chicago commons  association,child care,,near west side,no,,,"2613it(child care it center), 3403ps(hs collaboration with c",14
7,0.92882396328833794,54,Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St,,6663883,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,09/30/14,state pre-kindergarten,,migdalia young,half day/full day,405263,arroyoe@chicagocommons.org,yes,lower west side,,,,,6663883,1814 s paulina street,cp,yes,chicago commons association - guadalupano family center,,www.chicagocommons.org,chicago commons  association,child care,,near west side,no,,,"2613it(child care it center), 3403ps(hs collaboration with c",14
26,0.99540224529448007,55,YMCA of Metropolitan Chicago - McCormick Tribune- YMCA,1834 N Lawndale Ave,,2352525,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60647,11/01/16,child care,,etisha wofford,half day/full day,726298,mfranco@ymcachicago.org,no,austin,,,,,2352525,1834 n lawndale avenue,cp,no,ymca mccormick tribune,,www.chicagocommons.org,hull house association,child care,,logan square,no,,,"5734ip(ehs collaboration enhanced home ip), 5735it(child car",78
270,0.65430982245339286,56,Board Trustees-City Colleges of Chicago - Malcolm X College,1900 W Van Buren St,,8507000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60612,aisha ruther,child care,,ereyne weekes,extended day,277294,aruther@ccc.edu,no,near west side,,,,,8507000,1900 w van buren,phyllis daniels-ward,yes,board trustees-city colleges of chicago - malcolm x college,,www.ccc.edu,board trustees-city colleges of chicago,child care,,near west side,no,,,"7025ps (hs collaboration with childcare & prek), 4385ps(chil",57
270,0.65430982245339286,57,Board Trustees-City Colleges of Chicago - Malcolm X College,1900 W Van Buren St,,8507000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60612,aisha ruther,child care,,ereyne weekes,extended day,277294,aruther@ccc.edu,no,near west side,,,,,8507000,1900 w van buren,phyllis daniels-ward,yes,board trustees-city colleges of chicago - malcolm x college,,www.ccc.edu,board trustees-city colleges of chicago,child care,,near west side,no,,,"7025ps (hs collaboration with childcare & prek), 4385ps(chil",57
28,0.98653139386858257,58,El Valor - Guadalupe Reyes Children & Family Center,1951 W 19th St,,9972021,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,rosa moreno,child care,,lydia marcos,extended day,,,yes,lower west side,,,,,9972021,1951 w 19th st,vincent allocco,yes,el valor - guadalupe reyes children & family center,,www.elvalor.org,el valor,child care,,,no,,,"4141ps(child care ps center), 7026ps(hs collaboration with c",2146
28,0.98653139386858257,59,El Valor - Guadalupe Reyes Children & Family Center,1951 W 19th St,,9972021,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,rosa moreno,child care,,lydia marcos,extended day,,,yes,lower west side,,,,,9972021,1951 w 19th st,vincent allocco,yes,el valor - guadalupe reyes children & family center,,www.elvalor.org,el valor,child care,,,no,,,"4141ps(child care ps center), 7026ps(hs collaboration with c",2146
